City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,provideniya,64.3833,-173.3,-9.69,100,82,2.91,RU,1678633424
1,atuona,-9.8,-139.0333,79.23,76,59,8.1,PF,1678633425
2,vao,-22.6667,167.4833,76.01,69,3,10.92,NC,1678633425
3,ushuaia,-54.8,-68.3,49.96,75,80,7.76,AR,1678633367
4,kloulklubed,7.0419,134.2556,79.3,79,67,11.23,PW,1678633425
5,albany,42.6001,-73.9662,36.81,67,99,4.0,US,1678633425
6,rikitea,-23.1203,-134.9692,78.03,80,100,25.84,PF,1678633425
7,alihe,50.5667,123.7167,-2.29,98,62,2.59,CN,1678633425
8,kasane,-17.8167,25.15,87.04,33,27,7.18,BW,1678633425
9,port hedland,-20.3167,118.5667,84.25,84,0,9.22,AU,1678633425
10,new norfolk,-42.7826,147.0587,54.9,64,84,0.69,AU,1678633426
11,hermanus,-34.4187,19.2345,76.8,50,0,15.05,ZA,1678633426
12,clyde river,70.4692,-68.5914,-9.53,90,44,4.41,CA,1678633426
13,puteyets,65.1716,57.091,23.27,94,100,18.41,RU,1678633426
14,yerbogachen,61.2767,108.0108,22.1,92,100,10.83,RU,1678633426
15,sabang,5.8933,95.3214,81.95,73,96,14.14,ID,1678633426
16,castro,-24.7911,-50.0119,65.55,96,100,5.1,BR,1678633426
17,pathein,16.7833,94.7333,79.83,62,100,6.55,MM,1678633426
18,shingu,33.7333,135.9833,59.0,86,100,11.65,JP,1678633426
19,den helder,52.9599,4.7593,49.98,93,100,23.02,NL,1678633426
20,fairbanks,64.8378,-147.7164,6.82,81,0,0.0,US,1678633426
21,cape town,-33.9258,18.4232,76.1,46,0,8.01,ZA,1678633211
22,asfi,32.2994,-9.2372,70.18,62,6,10.83,MA,1678633269
23,mataura,-46.1927,168.8643,46.51,99,100,5.84,NZ,1678633427
24,busselton,-33.65,115.3333,63.68,93,94,8.77,AU,1678633427
25,minot,48.2325,-101.2963,11.25,86,40,18.41,US,1678633427
26,lasa,46.6166,10.7002,57.69,61,31,5.93,IT,1678633427
27,carnarvon,-24.8667,113.6333,76.1,79,0,25.79,AU,1678633427
28,verkhnyaya inta,65.9811,60.3094,21.24,82,100,9.89,RU,1678633427
29,fallon,39.4735,-118.7774,37.45,87,75,5.75,US,1678633427
30,hithadhoo,-0.6,73.0833,82.78,75,56,9.1,MV,1678633427
31,longyearbyen,78.2186,15.6401,17.44,62,40,20.71,SJ,1678633427
32,esperance,-33.8667,121.9,69.44,64,79,12.95,AU,1678633427
33,avarua,-21.2078,-159.775,78.85,94,75,4.61,CK,1678633428
34,vrangel,42.7297,133.0839,27.91,81,100,18.97,RU,1678633428
35,ahipara,-35.1667,173.1667,60.51,86,96,4.99,NZ,1678633428
36,geraldton,-28.7667,114.6,72.01,83,40,12.66,AU,1678633428
37,gambo,4.6482,22.2633,96.49,24,66,4.14,CF,1678633428
38,namatanai,-3.6667,152.4333,79.16,83,100,2.75,PG,1678633428
39,shu,43.5983,73.7614,47.43,95,100,7.96,KZ,1678633428
40,san policarpo,12.1791,125.5072,76.93,83,59,11.68,PH,1678633428
41,srednekolymsk,67.45,153.6833,2.01,96,100,1.14,RU,1678633428
